idzap          id_el                                               mxlen_e  name_e                                                                                                       desc_e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               type_d  type_e  form_e  
T_0300/01000   ZL_LIST/SCHET/YEAR                                  4        Отчетный год                                                                                                 NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       N
T_0300/01100   ZL_LIST/SCHET/MONTH                                 2        Отчетный месяц                                                                                               В счёт могут включаться случаи лечения за предыдущие периоды, если ранее они были отказаны по результатам МЭК, МЭЭ, ЭКМП                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             T       О       N
T_0300/01200   ZL_LIST/SCHET/NSCHET                                15       Номер счёта                                                                                                  NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       T
T_0300/01300   ZL_LIST/SCHET/DSCHET                                10       Дата выставления счёта                                                                                       В формате ГГГГ-ММ-ДД                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       D
T_0300/01400   ZL_LIST/SCHET/PLAT                                  5        Плательщик. Реестровый номер СМО.                                                                            Заполняется в соответствии со справочником F002 Приложения А. При отсутствии сведений может не заполняться.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          T       У       T
T_0300/01500   ZL_LIST/SCHET/SUMMAV                                15.2     Сумма, выставленная МО на оплату                                                                             NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       N
T_0300/01600   ZL_LIST/SCHET/COMENTS                               250      Служебное поле к счету                                                                                       NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       У       T
T_0300/01700   ZL_LIST/SCHET/SUMMAP                                15.2     Сумма, принятая к оплате СМО (ТФОМС)                                                                         Заполняется СМО (ТФОМС).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             T       У       N
T_0300/01800   ZL_LIST/SCHET/SANK_MEK                              15.2     Финансовые санкции (МЭК)                                                                                     Сумма, снятая с оплаты по результатам МЭК, заполняется после проведения МЭК.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         T       У       N
T_0300/01900   ZL_LIST/SCHET/SANK_MEE                              15.2     Финансовые санкции (МЭЭ)                                                                                     Сумма, снятая с оплаты по результатам МЭЭ, заполняется после проведения МЭЭ.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         T       У       N
T_0300/02000   ZL_LIST/SCHET/SANK_EKMP                             15.2     Финансовые санкции (ЭКМП)                                                                                    Сумма, снятая с оплаты по результатам ЭКМП, заполняется после проведения ЭКМП.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       T       У       N
T_0400/02100   ZL_LIST/ZAP/N_ZAP                                   8        Номер позиции записи                                                                                         Уникально идентифицирует запись в пределах счета.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    T       О       N
T_0400/02200   ZL_LIST/ZAP/PR_NOV                                  1        Признак исправленной записи                                                                                  0 – сведения об оказанной медицинской помощи передаются впервые;1 – запись передается повторно после исправления.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    T       О       N
T_0400/02300   ZL_LIST/ZAP/PACIENT                                 NULL     Сведения о пациенте                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       S
T_0400/02400   ZL_LIST/ZAP/Z_SL                                    NULL     Сведения о законченном случае                                                                                Сведения о законченном случае оказания медицинской помощи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            T       О       S
T_0500/02500   ZL_LIST/ZAP/PACIENT/ID_PAC                          36       Код записи о пациенте                                                                                        Возможно использование уникального идентификатора (учетного кода) пациента.Необходим для связи с файлом персональных данных.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         T       О       T
T_0500/02600   ZL_LIST/ZAP/PACIENT/VPOLIS                          1        Тип документа, подтверждающего факт страхования по ОМС                                                       Заполняется в соответствии с F008 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      T       О       N
T_0500/02700   ZL_LIST/ZAP/PACIENT/SPOLIS                          10       Серия документа, подтверждающего факт страхования по ОМС                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       У       T
T_0500/02800   ZL_LIST/ZAP/PACIENT/NPOLIS                          20       Номер документа, подтверждающего факт страхования по ОМС                                                     Для полисов единого образца указывается ЕНП                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          T       О       T
T_0500/02900   ZL_LIST/ZAP/PACIENT/ST_OKATO                        5        Регион страхования                                                                                           Указывается ОКАТО территории выдачи ДПФС для полисов старого образца при наличии данных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              T       У       T
T_0500/03000   ZL_LIST/ZAP/PACIENT/SMO                             5        Реестровый номер СМО.                                                                                        Заполняется в соответствии со справочником F002 Приложения А. При отсутствии сведений может не заполняться.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          T       У       T
T_0500/03100   ZL_LIST/ZAP/PACIENT/SMO_OGRN                        15       ОГРН СМО                                                                                                     Заполняются при невозможности указать реестровый номер СМО.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          T       У       T
T_0500/03200   ZL_LIST/ZAP/PACIENT/SMO_OK                          5        ОКАТО территории страхования                                                                                 Заполняются при невозможности указать реестровый номер СМО.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          T       У       T
T_0500/03300   ZL_LIST/ZAP/PACIENT/SMO_NAM                         100      Наименование СМО                                                                                             Заполняется при невозможности указать ни реестровый номер, ни ОГРН СМО.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              T       У       T
T_0500/03400   ZL_LIST/ZAP/PACIENT/MSE                             1        Направление на МСЭ                                                                                           Указывается «1» в случае передачи направления на МСЭ медицинской организацией в бюро медико-социальной экспертизы.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   T       У       N
T_0500/03500   ZL_LIST/ZAP/PACIENT/NOVOR                           9        Признак новорождённого                                                                                       Указывается в случае оказания медицинской помощи ребёнку до государственной регистрации рождения.0 – признак отсутствует.Если значение признака отлично от нуля, он заполняется по следующему шаблону:ПДДММГГН, гдеП – пол ребёнка в соответствии с классификатором V005 Приложения А;ДД – день рождения;ММ – месяц рождения;ГГ – последние две цифры года рождения;Н – порядковый номер ребёнка (до двух знаков).                                                                                                                                                                                                                                                                                                                                                                                                                                                   T       О       T
T_0500/03600   ZL_LIST/ZAP/PACIENT/VNOV_D                          4        Вес при рождении                                                                                             Указывается при оказании медицинской помощи недоношенным и маловесным детям.Поле заполняется, если в качестве пациента указан ребёнок.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               T       У       N
T_0600/03700   ZL_LIST/ZAP/Z_SL/IDCASE                             11       Номер записи в реестре случаев                                                                               Соответствует порядковому номеру записи реестра счёта на бумажном носителе при его предоставлении.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   T       О       N
T_0600/03800   ZL_LIST/ZAP/Z_SL/USL_OK                             2        Условия оказания медицинской помощи                                                                          Классификатор условий оказания медицинской помощи (V006 Приложения А).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               T       О       N
T_0600/03900   ZL_LIST/ZAP/Z_SL/VIDPOM                             4        Вид медицинской помощи                                                                                       Классификатор видов медицинской помощи. Справочник V008 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                T       О       N
T_0600/04000   ZL_LIST/ZAP/Z_SL/FOR_POM                            1        Форма оказания медицинской помощи                                                                            Классификатор форм оказания медицинской помощи. Справочник V014 Приложения А                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         T       О       N
T_0600/04101   ZL_LIST/ZAP/Z_SL/NPR_MO                             6        Код МО, направившей на лечение (диагностику, консультацию, госпитализацию)                                   Код МО – юридического лица. Заполняется в соответствии со справочником F003 Приложения А. Заполнение обязательно в случаях оказания:1. плановой медицинской помощи в условиях стационара (FOR_POM=3 и USL_OK = 1); 2. в условиях дневного стационара (USL_OK =2);3. медицинской помощи при подозрении на злокачественное новообразование или установленном диагнозе злокачественного новообразования (первый символ кода основного диагноза - «С» или код основного диагноза входит в диапазон D00-D09) при направлении из другой МО                                                                                                                                                                                                                                                                                                                                 T       У       T
T_0700/06200   ZL_LIST/ZAP/Z_SL/SL/PODR                            12       Код отделения                                                                                                Отделение МО лечения в соответствии с региональным справочником                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      T       У       N
T_0700/06300   ZL_LIST/ZAP/Z_SL/SL/PROFIL                          3        Профиль медицинской помощи                                                                                   Классификатор V002 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     T       О       N
T_0700/06400   ZL_LIST/ZAP/Z_SL/SL/PROFIL_K                        3        Профиль койки                                                                                                Классификатор V020 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     T       О       N
T_0700/06500   ZL_LIST/ZAP/Z_SL/SL/DET                             1        Признак детского профиля                                                                                     0-нет, 1-да.Заполняется в зависимости от профиля оказанной медицинской помощи.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       T       О       N
T_0600/04201   ZL_LIST/ZAP/Z_SL/NPR_DATE                           10       Дата направления на лечение (диагностику, консультацию, госпитализацию)                                      Заполняется на основании направления на лечение. Заполнение обязательно в случаях оказания:1. плановой медицинской помощи в условиях стационара (FOR_POM=3 и USL_OK = 1); 2. в условиях дневного стационара (USL_OK =2)3. медицинской помощи при подозрении на злокачественное новообразование или установленном диагнозе злокачественного новообразования (первый символ кода основного диагноза - «С» или код основного диагноза входит в диапазон D00-D09) при направлении из другой МО                                                                                                                                                                                                                                                                                                                                                                           T       У       D
T_0600/04300   ZL_LIST/ZAP/Z_SL/LPU                                6        Код МО                                                                                                       МО лечения, указывается в соответствии со справочником F003 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            T       О       T
T_0600/04400   ZL_LIST/ZAP/Z_SL/DATE_Z_1                           10       Дата начала лечения                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       D
T_0600/04500   ZL_LIST/ZAP/Z_SL/DATE_Z_2                           10       Дата окончания лечения                                                                                       NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 T       О       D
